[2018-10-30T12:13:43+0100] DFHack 0.44.12-r1-0-gc2a64b35 on Windows; cwd md5: fd0b649d1a; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-10-30T12:13:43+0100] DFHack 0.44.12-r1-0-gc2a64b35 on Windows; cwd md5: fd0b649d1a; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-10-30T15:35:40+0100] DFHack 0.44.12-r1-0-gc2a64b35 on Windows; cwd md5: fd0b649d1a; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-10-30T15:35:41+0100] DFHack 0.44.12-r1-0-gc2a64b35 on Windows; cwd md5: fd0b649d1a; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-10-31T13:55:57+0100] DFHack 0.44.12-r1-0-gc2a64b35 on Windows; cwd md5: fd0b649d1a; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-10-31T13:55:59+0100] DFHack 0.44.12-r1-0-gc2a64b35 on Windows; cwd md5: fd0b649d1a; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-11-08T12:08:10+0100] DFHack 0.44.12-r1-0-gc2a64b35 on Windows; cwd md5: fd0b649d1a; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-11-08T12:08:14+0100] DFHack 0.44.12-r1-0-gc2a64b35 on Windows; cwd md5: fd0b649d1a; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-11-08T12:12:18+0100] DFHack 0.44.12-r1-0-gc2a64b35 on Windows; cwd md5: fd0b649d1a; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-11-08T12:13:09+0100] DFHack 0.44.12-r1-0-gc2a64b35 on Windows; cwd md5: fd0b649d1a; save: region1; SC_WORLD_UNLOADED; game type NONE (11)
[2018-11-08T12:15:14+0100] DFHack 0.44.12-r1-0-gc2a64b35 on Windows; cwd md5: fd0b649d1a; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-11-08T12:25:47+0100] DFHack 0.44.12-r1-0-gc2a64b35 on Windows; cwd md5: fd0b649d1a; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-11-08T17:31:53+0100] DFHack 0.44.12-r1-0-gc2a64b35 on Windows; cwd md5: fd0b649d1a; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-11-08T17:31:54+0100] DFHack 0.44.12-r1-0-gc2a64b35 on Windows; cwd md5: fd0b649d1a; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-11-09T12:32:16+0100] DFHack 0.44.12-r1-0-gc2a64b35 on Windows; cwd md5: fd0b649d1a; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-11-09T12:32:16+0100] DFHack 0.44.12-r1-0-gc2a64b35 on Windows; cwd md5: fd0b649d1a; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-11-09T16:58:30+0100] DFHack 0.44.12-r1-0-gc2a64b35 on Windows; cwd md5: fd0b649d1a; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-11-09T16:58:30+0100] DFHack 0.44.12-r1-0-gc2a64b35 on Windows; cwd md5: fd0b649d1a; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
