[2018-11-05T11:10:59+0100] DFHack 0.44.12-r1-0-gc2a64b35 on Windows; cwd md5: fd0b649d1a; save: region2; SC_WORLD_UNLOADED; game type NONE (11)
[2018-11-05T11:11:29+0100] DFHack 0.44.12-r1-0-gc2a64b35 on Windows; cwd md5: fd0b649d1a; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-11-05T12:09:22+0100] DFHack 0.44.12-r1-0-gc2a64b35 on Windows; cwd md5: fd0b649d1a; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-11-05T15:48:05+0100] DFHack 0.44.12-r1-0-gc2a64b35 on Windows; cwd md5: fd0b649d1a; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-11-05T15:48:06+0100] DFHack 0.44.12-r1-0-gc2a64b35 on Windows; cwd md5: fd0b649d1a; save: region2; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-11-06T08:59:55+0100] DFHack 0.44.12-r1-0-gc2a64b35 on Windows; cwd md5: fd0b649d1a; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-11-06T08:59:56+0100] DFHack 0.44.12-r1-0-gc2a64b35 on Windows; cwd md5: fd0b649d1a; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-11-06T09:43:16+0100] DFHack 0.44.12-r1-0-gc2a64b35 on Windows; cwd md5: fd0b649d1a; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-11-06T09:44:18+0100] DFHack 0.44.12-r1-0-gc2a64b35 on Windows; cwd md5: fd0b649d1a; save: region2; SC_WORLD_UNLOADED; game type NONE (11)
[2018-11-06T09:44:59+0100] DFHack 0.44.12-r1-0-gc2a64b35 on Windows; cwd md5: fd0b649d1a; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-11-06T09:54:44+0100] DFHack 0.44.12-r1-0-gc2a64b35 on Windows; cwd md5: fd0b649d1a; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-11-06T17:41:54+0100] DFHack 0.44.12-r1-0-gc2a64b35 on Windows; cwd md5: fd0b649d1a; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-11-06T17:41:54+0100] DFHack 0.44.12-r1-0-gc2a64b35 on Windows; cwd md5: fd0b649d1a; save: region2; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
